Hawaii,7,Bison,0.83
Lithuania,2,Giraffe,0.66
Lithuania,4,Pelican,0.51
DOMINICAN_REPUBLIC,2,Nightingale,0.705
Maine,8,Human,0.87
Turkey,1,Jackal,0.995
Florida,0,Sheep,0.51
Samoa,4,Cormorant,0.28
Mississippi,1,Columbidae,0.755
Switzerland,3,Reindeer,0.09
DOMINICAN_REPUBLIC,8,Human,0.03
DOMINICAN_REPUBLIC,9,Jackal,0.05
Oregon,3,Columbidae,0.67
NEW_ZEALAND,7,Quail,0.41
Ethiopia,9,Mallard,0.295
COSTA_RICA,9,Goldfinch,0.875
Florida,2,Pinniped,0.06
Michigan,0,Giant_Panda,0.75
Morocco,8,Snipe,0.615
Malawi,8,Raven,0.585
TRINIDAD_AND_TOBAGO,4,Pelican,0.84
Rhode_Island,0,Wren,0.215
Monaco,5,Heron,0.08
Colombia,3,Heron,0.96
Uzbekistan,8,Louse,0.155
Tonga,8,Bison,0.4
Saudi_Arabia,1,Cormorant,0.205
TRINIDAD_AND_TOBAGO,3,Chamois,0.435
COSTA_RICA,5,Hamster,0.98
Illinois,7,Pinniped,0.35
Louisiana,1,Raven,0.445
DOMINICAN_REPUBLIC,1,Donkey,0.715
Guatemala,6,Beaver,0.54
Croatia,8,Zebra,0.815
California,5,Lion,0.505
Louisiana,1,Human,0.855
Slovakia,9,Lion,0.745
Latvia,3,Human,0.545
Florida,4,Goldfinch,0.12
Mississippi,2,Louse,0.76
Oregon,3,Chamois,0.415
Washington,9,Cheetah,0.475
Alabama,3,Nightingale,0.71
Lithuania,5,Skunk,0.545
Zambia,7,Wren,0.815
EL_SALVADOR,8,Swallow,0.085
Samoa,8,Beaver,0.575
Nigeria,9,Cheetah,0.455
Mozambique,2,Gazelle,0.135
Tonga,4,Goose,0.865
Florida,0,Cormorant,0.34
South_Carolina,9,Beaver,0.755
Ukraine,5,Cobra,0.4
Tennessee,6,Snipe,0.295
Thailand,4,Sheep,0.39
Georgia,0,Skunk,0.285
Turkey,0,Gerbil,0.875
Georgia,3,Hamster,0.665
Sweden,2,Snipe,0.475
Tonga,5,Giraffe,0.24
Dominica,4,Black_panther,0.21
Texas,2,Peafowl,0.275
Uganda,5,Fish,0.365
WESTERN_SAHARA,6,Coyote,0.63
Croatia,2,Gerbil,0.02
Michigan,3,Mule,0.94
Mississippi,3,Jaguar,0.975
Illinois,4,Ostrich,0.44
Florida,0,Chamois,0.955
Ukraine,6,Coyote,0.335
Barbados,9,Goldfinch,0.775
Hawaii,4,Donkey,0.18
Jordan,9,Gazelle,0.18
EQUATORIAL_GUINEA,1,Ostrich,0.335
Nauru,1,Goldfinch,0.65
Missouri,9,Swallow,0.355
Latvia,8,Goose,0.335
Vatican_City,4,Cormorant,0.735
Michigan,7,Mallard,0.33
Nauru,1,Magpie,0.425
Michigan,0,Pelican,0.48
Wyoming,7,Lion,0.035
Ukraine,8,Heron,0.38
Thailand,4,Camel,0.295
New_Mexico,7,Reindeer,0.03
Madagascar,4,Badger,0.66
CZECH_REPUBLIC,5,Gerbil,0.225
Hawaii,7,Bison,0.2
Nauru,6,Mallard,0.03
Ethiopia,1,Badger,0.155
Nauru,6,Hornet,0.38
Zambia,3,Donkey,0.45
Zimbabwe,4,Sheep,0.69
Guatemala,0,Otter,0.575
Grenada,7,Chamois,0.5
Barbados,0,Chamois,0.95
Tunisia,6,Magpie,0.945
France,8,Jackal,0.945
Ethiopia,9,Giant_Panda,0.695
