X,Y,Z,score
Zimbabwe,Wombat,10,0.465
Canada,Gorilla,59,0.085
Ireland,Magpie,13,0.705
Grenada,Rhinoceros,28,0.51
Louisiana,Cheetah,49,0.61
Denmark,Ram,20,0.925
Alabama,Rhinoceros,6,0.66
Rhode_Island,Gazelle,4,0.45
Hawaii,Beaver,23,0.765
EQUATORIAL_GUINEA,Black_panther,22,0.345
Missouri,Gerbil,51,0.975
Massachusetts,Lion,11,0.495
Switzerland,Nightingale,9,0.68
Vatican_City,Pinniped,47,0.125
Uzbekistan,Goldfinch,39,0.57
EQUATORIAL_GUINEA,Rhinoceros,11,0.315
Illinois,Jaguar,25,0.47
Ghana,Rhinoceros,44,0.315
Malta,Heron,47,0.86
Mississippi,Goldfinch,9,0.835
Wisconsin,Sheep,22,0.385
Kiribati,Swallow,45,0.035
Tanzania,Manatee,48,0.76
MARSHALL_ISLANDS,Donkey,5,0.27
Mississippi,Sheep,5,0.075
Turkey,Columbidae,1,0.245
Saudi_Arabia,Flamingo,51,0.105
Sudan,Bison,31,0.32
Alabama,Donkey,5,0.775
Nauru,Cobra,56,0.18
Florida,Magpie,31,0.595
Wyoming,Skunk,40,0.645
Jordan,Bison,34,0.135
NEW_ZEALAND,Mule,16,0.835
Massachusetts,Wren,57,0.055
Malaysia,Otter,25,0.575
Zambia,Louse,36,0.46
Ukraine,Louse,14,0.445
Jordan,Hornet,4,0.79
TRINIDAD_AND_TOBAGO,Wombat,35,0.43
Florida,Giraffe,9,0.6
EQUATORIAL_GUINEA,Snipe,40,0.235
Kiribati,Alligator,4,0.41
Netherlands,Nightingale,45,0.35
Zambia,Peafowl,38,0.41
Oregon,Moose,12,0.55
Nigeria,Fish,28,0.085
Lithuania,Goose,19,0.34
Serbia,Nightingale,55,0.635
Oregon,Partridge,33,0.285
Nigeria,Magpie,38,0.68
Minnesota,Jaguar,29,0.685
Ecuador,Wren,20,0.205
Ireland,Badger,43,0.3
Alabama,Columbidae,15,0.06
California,Rhinoceros,37,0.35
Canada,Rhinoceros,33,0.76
Uganda,Coyote,19,0.435
Greece,Mallard,19,0.265
Texas,Skunk,28,0.29
South_Carolina,Beaver,9,0.375
Massachusetts,Giraffe,37,0.64
Wyoming,Dolphin,19,0.645
Cyprus,Pelican,27,0.01
Australia,Lion,53,0.895
North_Carolina,Ram,19,0.52
Taiwan,Rhinoceros,59,0.18
Illinois,Giant_Panda,25,0.36
Nepal,Giraffe,37,0.425
Australia,Fox,57,0.07
TRINIDAD_AND_TOBAGO,Gazelle,48,0.645
North_Carolina,Quail,16,0.945
Guatemala,Partridge,33,0.59
Guatemala,Heron,29,0.99
Japan,Wren,14,0.13
Illinois,Reindeer,50,0.105
New_Jersey,Donkey,12,0.285
Luxembourg,Gerbil,16,0.115
Serbia,Fox,7,0.295
Luxembourg,Hamster,31,0.755
Spain,Giraffe,59,0.045
Morocco,Hyena,8,0.45
Tunisia,Giant_Panda,43,0.125
Switzerland,Magpie,35,0.555
Croatia,Chamois,31,0.72
Malawi,Quail,23,0.22
Singapore,Reindeer,32,0.705
Tanzania,Black_panther,7,0.54
Spain,Hornet,29,0.21
Mississippi,Camel,56,0.945
MARSHALL_ISLANDS,Partridge,39,0.84
Mississippi,Beaver,28,0.92
Australia,Wren,20,0.275
Vatican_City,Louse,29,0.185
Serbia,Mule,25,0.115
EL_SALVADOR,Columbidae,40,0.965
Uzbekistan,Alligator,3,0.175
Greece,Quail,24,0.75
Uganda,Raven,0,0.54
California,Wombat,44,0.86
Japan,Pinniped,7,0.98
Malaysia,Jaguar,10,0.98
New_Mexico,Wombat,1,0.12
Zimbabwe,Wombat,48,0.245
Pennsylvania,Cobra,13,0.71
